के	क े |
है़	ह ै ़ |
विभागीय	व ि भ ा ग ी य |
कहलाते	क ह ल ा त े |
जाकड़ेकर	ज ा क ड ़ े क र |
श्रेणीकरण	श ् र े ण ी क र ण |
हरी	ह र ी |
झंडी	झ ं ड ी |
उन्नासी	उ न ् न ा स ी |
जैमर	ज ै म र |
यंत्र	य ं त ् र |
विपिन	व ि प ि न |
सिनेमाघरों	स ि न े म ा घ र ो ं |
झटककर	झ ट क क र |
आईसलैंड	आ ई स ल ै ं ड |
पर्यटकों	प र ् य ट क ो ं |
टूरिज्म	ट ू र ि ज ् म |
चढ़कर	च ढ ़ क र |
लाभार्थी	ल ा भ ा र ् थ ी |
इक्यानबे	इ क ् य ा न ब े |
जोड़कर	ज ो ड ़ क र |
फंडेड	फ ं ड े ड |
यूनिवर्टसिटीज	य ू न ि व र ् ट स ि ट ी ज |
चिकनगुनिया	च ि क न ग ु न ि य ा |
किसका	क ि स क ा |
व्यक्त	व ् य क ् त |
डिटेक्टर	ड ि ट े क ् ट र |
कीचड़	क ी च ड ़ |
बुनियाद	ब ु न ि य ा द |
कमांडर	क म ा ं ड र |
अंचल	अ ं च ल |
स्कवाड्रन	स ् क व ा ड ् र न |
फ्लिपकार्ट	फ ् ल ि प क ा र ् ट |
वादों	व ा द ो ं |
समुन्द्र	स म ु न ् द ् र |
सिकुड़ता	स ि क ु ड ़ त ा |
रिजन	र ि ज न |
रऊफ	र ऊ फ |
हफ्ता	ह फ ् त ा |
लवर	ल व र |
हिमायती	ह ि म ा य त ी |
वॉल	व ॉ ल |
कराएगी	क र ा ए ग ी |
चिह्नित	च ि ह ् न ि त |
लगेंगे	ल ग े ं ग े |
चोटग्रस्त	च ो ट ग ् र स ् त |
लंबित	ल ं ब ि त |
समन्वय	स म न ् व य |
जड़ें	ज ड ़ े ं |
बिगड़ेगी	ब ि ग ड ़ े ग ी |
खर्चे	ख र ् च े |
रकबे	र क ब े |
रेटिंग	र े ट ि ं ग |
आचार्य	आ च ा र ् य |
अरुणाचल	अ र ु ण ा च ल |
हायड्रो	ह ा य ड ् र ो |
प्रगाढ़	प ् र ग ा ढ ़ |
भाषाविद	भ ा ष ा व ि द |
स्तरों	स ् त र ो ं |
करारा	क र ा र ा |
तनातनी	त न ा त न ी |
बुद्धिजीवी	ब ु द ् ध ि ज ी व ी |
लॉज	ल ॉ ज |
अफसोस	अ फ स ो स |
छात्राओं	छ ा त ् र ा ओ ं |
निमंत्रण	न ि म ं त ् र ण |
सुरेंद्र	स ु र े ं द ् र |
सुखवीर	स ु ख व ी र |
जेंटलमेंस	ज े ं ट ल म े ं स |
ध्येय	ध ् य े य |
वाक्य	व ा क ् य |
उत्तरदायी	उ त ् त र द ा य ी |
पंचमुखी	प ं च म ु ख ी |
अपनाएगा	अ प न ा ए ग ा |
कैडमियम	क ै ड म ि य म |
भरें	भ र े ं |
निर्वाचित	न ि र ् व ा च ि त |
चुपचाप	च ु प च ा प |
प्रकोप	प ् र क ो प |
ट्रकों	ट ् र क ो ं |
बारिष	ब ा र ि ष |
बेचनी	ब े च न ी |
सर्विसेज	स र ् व ि स े ज |
शरमन	श र म न |
प्रशिक्षण	प ् र श ि क ् ष ण |
स्यूसाइड	स ् य ू स ा इ ड |
सब्बरवाल	स ब ् ब र व ा ल |
खंडपीठ	ख ं ड प ी ठ |
हामी	ह ा म ी |
गूंज	ग ू ं ज |
फिजियोथेरेपिस्ट	फ ि ज ि य ो थ े र े प ि स ् ट |
वालेंटिन	व ा ल े ं ट ि न |
एल्टेनबर्ग	ए ल ् ट े न ब र ् ग |
झगड़ा	झ ग ड ़ ा |
बदनाम	ब द न ा म |
परिक्षार्थियों	प र ि क ् ष ा र ् थ ि य ो ं |
आयात	आ य ा त |
उल्लेखों	उ ल ् ल े ख ो ं |
चरागाहों	च र ा ग ा ह ो ं |
रफीक	र फ ी क |
दीगर	द ी ग र |
अर्द्ध	अ र ् द ् ध |
पर्सनैलिटी	प र ् स न ै ल ि ट ी |
श्योपुर	श ् य ो प ु र |
बटोरकर	ब ट ो र क र |
बचेगा	ब च े ग ा |
मिजोरम	म ि ज ो र म |
नगालैंड	न ग ा ल ै ं ड |
एयरपोर्ट	ए य र प ो र ् ट |
नियामकीय	न ि य ा म क ी य |
बारि	ब ा र ि |
देखोगें	द े ख ो ग े ं |
लॉग	ल ॉ ग |
रेज	र े ज |
अन्यथा	अ न ् य थ ा |
द्योतक	द ् य ो त क |
प्रतिबद्ध	प ् र त ि ब द ् ध |
लो	ल ो |
सामाजिकीकरण	स ा म ा ज ि क ी क र ण |
ब्रह्मपुत्र	ब ् र ह ् म प ु त ् र |
बॉन्ड	ब ॉ न ् ड |
तहजीह	त ह ज ी ह |
गिना	ग ि न ा |
वायुमंडलीय	व ा य ु म ं ड ल ी य |
पिथौरागढ़	प ि थ ौ र ा ग ढ ़ |
हिचकेगा	ह ि च क े ग ा |
एएआई	ए ए आ ई |
एकजार	ए क ज ा र |
यकीनन	य क ी न न |
जलगांव	ज ल ग ा ं व |
देवताओं	द े व त ा ओ ं |
घोषण	घ ो ष ण |
शारदा	श ा र द ा |
नारदा	न ा र द ा |
चहीता	च ह ी त ा |
हीरो	ह ी र ो |
धुरंधर	ध ु र ं ध र |
उम्दा	उ म ् द ा |
सुधारें	स ु ध ा र े ं |
नौट	न ौ ट |
आपातकालीन	आ प ा त क ा ल ी न |
धाम	ध ा म |
उतरीं	उ त र ी ं |
दक्षिणपूर्वी	द क ् ष ि ण प ू र ् व ी |
लाते	ल ा त े |
ट्रांसपोर्ट	ट ् र ा ं स प ो र ् ट |
इकॉनमी	इ क ॉ न म ी |
रामनवमी	र ा म न व म ी |
हमलावर	ह म ल ा व र |
डिप्टी	ड ि प ् ट ी |
एडवोकेट	ए ड व ो क े ट |
रमजान	र म ज ा न |
श्रंखला	श ् र ं ख ल ा |
मुर्गे	म ु र ् ग े |
उत्सव्	उ त ् स व ् |
हांगझाऊ	ह ा ं ग झ ा ऊ |
निगल	न ि ग ल |
नगरोटा	न ग र ो ट ा |
दमानिया	द म ा न ि य ा |
इक्ट्ठा	इ क ् ट ् ठ ा |
टेन	ट े न |
संस्कारित	स ं स ् क ा र ि त |
पालक	प ा ल क |
असंतोष	अ स ं त ो ष |
एनजीटी	ए न ज ी ट ी |
जाड	ज ा ड |
पते	प त े |
ट्रेडमार्क	ट ् र े ड म ा र ् क |
एकतरफा	ए क त र फ ा |
काउंसलर	क ा उ ं स ल र |
क्रियाओं	क ् र ि य ा ओ ं |
नगद	न ग द |
एंड्रायड	ए ं ड ् र ा य ड |
कैंडिडेट	क ै ं ड ि ड े ट |
अन्न	अ न ् न |
अस्थिरता	अ स ् थ ि र त ा |
छिड़काव	छ ि ड ़ क ा व |
उत्तरदायित्व	उ त ् त र द ा य ि त ् व |
आजमाया	आ ज म ा य ा |
करारे	क र ा र े |
पोंगल	प ो ं ग ल |
एक्सपेरिमेंट	ए क ् स प े र ि म े ं ट |
उपर	उ प र |
ताज	त ा ज |
महल	म ह ल |
ह्यमुंबई	ह ् य म ु ं ब ई |
वियर	व ि य र |
एबल्स	ए ब ल ् स |
रिसर्चरों	र ि स र ् च र ो ं |
फिजूल	फ ि ज ू ल |
काटनी	क ा ट न ी |
पशुचारा	प श ु च ा र ा |
हारिफ	ह ा र ि फ |
पूर्वजों	प ू र ् व ज ो ं |
इनक्लूसिव	इ न क ् ल ू स ि व |
रोते	र ो त े |
भूमिकाओं	भ ू म ि क ा ओ ं |
पढ़े	प ढ ़ े |
कीमतों	क ी म त ो ं |
गाइड	ग ा इ ड |
व्यापमं	व ् य ा प म ं |
पडा	प ड ा |
पहलवान	प ह ल व ा न |
महावीर	म ह ा व ी र |
तामेंगलॉन्ग	त ा म े ं ग ल ॉ न ् ग |
मांगते	म ा ं ग त े |
कोटला	क ो ट ल ा |
डॉयलॉग	ड ॉ य ल ॉ ग |
हाईट	ह ा ई ट |
जवाहरबाग	ज व ा ह र ब ा ग |
जैसन	ज ै स न |
खानापूर्ति	ख ा न ा प ू र ् त ि |
रुकावट	र ु क ा व ट |
मतविभाजन	म त व ि भ ा ज न |
मोची	म ो च ी |
समाप्तप्राय	स म ा प ् त प ् र ा य |
कसूर	क स ू र |
झगड़	झ ग ड ़ |
लिस्टेड	ल ि स ् ट े ड |
रिजर्व्ड	र ि ज र ् व ् ड |
पहचानने	प ह च ा न न े |
म्यूचुअल	म ् य ू च ु अ ल |
जानबूझकर	ज ा न ब ू झ क र |
कुशल	क ु श ल |
सातसौ	स ा त स ौ |
महोत्सव	म ह ो त ् स व |
कार्यकलापों	क ा र ् य क ल ा प ो ं |
विदेशमंत्री	व ि द े श म ं त ् र ी |
हताहत	ह त ा ह त |
शालीन	श ा ल ी न |
पॉपुलर	प ॉ प ु ल र |
ट्रक	ट ् र क |
डब्ल्यूएचओ	ड ब ् ल ् य ू ए च ओ |
शत	श त |
बंदे	ब ं द े |
फ्रेंड	फ ् र े ं ड |
स्टीमी	स ् ट ी म ी |
मंडराते	म ं ड र ा त े |
डाकघर	ड ा क घ र |
सावधि	स ा व ध ि |
ऊंचा	ऊ ं च ा |
साल्वे	स ा ल ् व े |
हाईकोर्ट	ह ा ई क ो र ् ट |
दुगनी	द ु ग न ी |
एंड्रॉयड	ए ं ड ् र ॉ य ड |
यापन	य ा प न |
घना	घ न ा |
भिखारी	भ ि ख ा र ी |
सोवियत	स ो व ि य त |
समझाना	स म झ ा न ा |
दोषों	द ो ष ो ं |
लास्ट	ल ा स ् ट |
संभाव्य	स ं भ ा व ् य |
क्रिस्टल	क ् र ि स ् ट ल |
वडोदरा	व ड ो द र ा |
पदिों	प द ि ो ं |
संपत्तियों	स ं प त ् त ि य ो ं |
घटा	घ ट ा |
यथोचित	य थ ो च ि त |
जरा	ज र ा |
कर्तव्यनिष्ठ	क र ् त व ् य न ि ष ् ठ |
भरनी	भ र न ी |
आग्नेयास्त्र	आ ग ् न े य ा स ् त ् र |
हिमपात	ह ि म प ा त |
बखूबी	ब ख ू ब ी |
धाकड़	ध ा क ड ़ |
हरियाणवी	ह र ि य ा ण व ी |
अवाम	अ व ा म |
कार्ययोजना	क ा र ् य य ो ज न ा |
वॉन	व ॉ न |
ब्राउन	ब ् र ा उ न |
दिलाया	द ि ल ा य ा |
मिलेंगे	म ि ल े ं ग े |
जंकयार्ड	ज ं क य ा र ् ड |
कैफे	क ै फ े |
स्कैम	स ् क ै म |
कुशाग्र	क ु श ा ग ् र |
युसी	य ु स ी |
ब्राउजर	ब ् र ा उ ज र |
बेवॉच	ब े व ॉ च |
उमर	उ म र |
देवघर	द े व घ र |
कार्यपालिका	क ा र ् य प ा ल ि क ा |
राल्फ	र ा ल ् फ |
गुइडो	ग ु इ ड ो |
खेलनी	ख े ल न ी |
धमाके	ध म ा क े |
असंतुलित	अ स ं त ु ल ि त |
कचरे	क च र े |
अट्ठानवे	अ ट ् ठ ा न व े |
लैसन	ल ै स न |
सीखे	स ी ख े |
विवाहिता	व ि व ा ह ि त ा |
शुद्ध	श ु द ् ध |
चौंक	च ौ ं क |
ऑफर्स	ऑ फ र ् स |
दुधारू	द ु ध ा र ू |
बेचैनी	ब े च ै न ी |
नाहक	न ा ह क |
दंडित	द ं ड ि त |
खेलेगा	ख े ल े ग ा |
मुश्किलों	म ु श ् क ि ल ो ं |
एक्ट्रेसेज	ए क ् ट ् र े स े ज |
फोरम	फ ो र म |
खयाल	ख य ा ल |
संजीदगी	स ं ज ी द ग ी |
अकुंश	अ क ु ं श |
गोरखधंधे	ग ो र ख ध ं ध े |
बीएसपी	ब ी ए स प ी |
आॅनलाइन	आ ॅ न ल ा इ न |
रिलेटेड	र ि ल े ट े ड |
जॉब्स	ज ॉ ब ् स |
मिंट	म ि ं ट |
बचाओ	ब च ा ओ |
तोहफा	त ो ह फ ा |
लिंक्ड	ल ि ं क ् ड |
तरल	त र ल |
पन्ना	प न ् न ा |
हर्ट	ह र ् ट |
जलस्तर	ज ल स ् त र |
लाजिमी	ल ा ज ि म ी |
अटकते	अ ट क त े |
मकाऊ	म क ा ऊ |
लेह	ल े ह |
आवाजाही	आ व ा ज ा ह ी |
परिणामों	प र ि ण ा म ो ं |
आकार्षित	आ क ा र ् ष ि त |
एकीकरण	ए क ी क र ण |
प्रेमिका	प ् र े म ि क ा |
बुजुर्ग	ब ु ज ु र ् ग |
रिश्तेदारों	र ि श ् त े द ा र ो ं |
डिपार्टमेंट	ड ि प ा र ् ट म े ं ट |
नापाक	न ा प ा क |
विनिवेश	व ि न ि व े श |
दुर	द ु र |
पौष्टिक	प ौ ष ् ट ि क |
सीद्यमान	स ी द ् य म ा न |
जाऊंगा	ज ा ऊ ं ग ा |
इन्फ्लूएंजा	इ न ् फ ् ल ू ए ं ज ा |
बंटी	ब ं ट ी |
बबली	ब ब ल ी |
बज	ब ज |
डिजीज	ड ि ज ी ज |
दोशों	द ो श ो ं |
यूपीए	य ू प ी ए |
कोशिशों	क ो श ि श ो ं |
गुंडागर्दी	ग ु ं ड ा ग र ् द ी |
लचर	ल च र |
दोहराया	द ो ह र ा य ा |
साधनों	स ा ध न ो ं |
ठोकरें	ठ ो क र े ं |
अमरीका	अ म र ी क ा |
रष्ट्र्पती	र ष ् ट ् र ् प त ी |
संंबंध	स ं ं ब ं ध |
बिगड़ता	ब ि ग ड ़ त ा |
सूर्य	स ू र ् य |
सांत्वना	स ा ं त ् व न ा |
प्रतिद्वंदिता	प ् र त ि द ् व ं द ि त ा |
सिल्वर	स ि ल ् व र |
भारतेंदु	भ ा र त े ं द ु |
अनप्रोफेशनल	अ न प ् र ो फ े श न ल |
हटकर	ह ट क र |
आतुर	आ त ु र |
भरना	भ र न ा |
किदरार	क ि द र ा र |
बृहस्पतिवार	ब ृ ह स ् प त ि व ा र |
चांडेल	च ा ं ड े ल |
नाकआउट	न ा क आ उ ट |
जीती	ज ी त ी |
मंचों	म ं च ो ं |
बर्वे	ब र ् व े |
शिव	श ि व |
षांतिपूर्ण	ष ा ं त ि प ू र ् ण |
गुफ्तगु	ग ु फ ् त ग ु |
हैरी	ह ै र ी |
घेराबंदी	घ े र ा ब ं द ी |
कलाकारों	क ल ा क ा र ो ं |
हल्ला	ह ल ् ल ा |
बनते	ब न त े |
निबंध	न ि ब ं ध |
बाकियों	ब ा क ि य ो ं |
ऐप्लिकेशंस	ऐ प ् ल ि क े श ं स |
बहने	ब ह न े |
भिवंडी	भ ि व ं ड ी |
पारियों	प ा र ि य ो ं |
बदलते	ब द ल त े |
हुरीयत	ह ु र ी य त |
आकाओं	आ क ा ओ ं |
बीई	ब ी ई |
श्वास	श ् व ा स |
तेलुगू	त े ल ु ग ू |
स्वीच	स ् व ी च |
ठंड	ठ ं ड |
कमाए	क म ा ए |
बाबासाहब	ब ा ब ा स ा ह ब |
जातिवाद	ज ा त ि व ा द |
त्रुटिपूर्ण	त ् र ु ट ि प ू र ् ण |
एक्सरे	ए क ् स र े |
पतली	प त ल ी |
स्वंत्रता	स ् व ं त ् र त ा |
बबलू	ब ब ल ू |
भूमिज	भ ू म ि ज |
रखता	र ख त ा |
फ्लोरिडा	फ ् ल ो र ि ड ा |
स्टेटस	स ् ट े ट स |
प्रोसेसिंग	प ् र ो स े स ि ं ग |
जाई	ज ा ई |
करी	क र ी |
टीएसपीएससी	ट ी ए स प ी ए स स ी |
दिली	द ि ल ी |
शिष्य	श ि ष ् य |
गेंदें	ग े ं द े ं |
डेनियल	ड े न ि य ल |
क्रॉस	क ् र ॉ स |
अनुबंध	अ न ु ब ं ध |
पुरे	प ु र े |
सुविधाजनक	स ु व ि ध ा ज न क |
एलएचबी	ए ल ए च ब ी |
दोस्ते	द ो स ् त े |
संकोच	स ं क ो च |
रामपाल	र ा म प ा ल |
जुगल	ज ु ग ल |
हंसराज	ह ं स र ा ज |
टोटा	ट ो ट ा |
लोकायुक्त	ल ो क ा य ु क ् त |
हड्डी	ह ड ् ड ी |
खानपान	ख ा न प ा न |
प्रोबेशनरी	प ् र ो ब े श न र ी |
हैंपर	ह ै ं प र |
एटलस	ए ट ल स |
घेर	घ े र |
दरों	द र ो ं |
गुजरेगा	ग ु ज र े ग ा |
हाइट	ह ा इ ट |
मानसून	म ा न स ू न |
शहरीकरण	श ह र ी क र ण |
कुम्हार	क ु म ् ह ा र |
बढ़ई	ब ढ ़ ई |
लोहार	ल ो ह ा र |
ठठेरा	ठ ठ े र ा |
जीतना	ज ी त न ा |
जातिगत	ज ा त ि ग त |
ऐक्टिविस्ट	ऐ क ् ट ि व ि स ् ट |
अंजलि	अ ं ज ल ि |
विशंभर	व ि श ं भ र |
दबोच	द ब ो च |
जताने	ज त ा न े |
इको	इ क ो |
सेंसिटिव	स े ं स ि ट ि व |
पार्टिकुलेट	प ा र ् ट ि क ु ल े ट |
ऑपरेटिव	ऑ प र े ट ि व |
रैकेट	र ै क े ट |
नार्थ	न ा र ् थ |
फैलाने	फ ै ल ा न े |
टकराव	ट क र ा व |
बहुविकल्पीय	ब ह ु व ि क ल ् प ी य |
जन्मस्थली	ज न ् म स ् थ ल ी |
मांगेगे	म ा ं ग े ग े |
सुलझा	स ु ल झ ा |
बहुल	ब ह ु ल |
निरस्त	न ि र स ् त |
गानों	ग ा न ो ं |
गुजरांवाला	ग ु ज र ा ं व ा ल ा |
सनघर	स न घ र |
सुकुर	स ु क ु र |
तरिह	त र ि ह |
ब्राह्मणबरिया	ब ् र ा ह ् म ण ब र ि य ा |
घनमीटर	घ न म ी ट र |
निकलाकर	न ि क ल ा क र |
राजभाषा	र ा ज भ ा ष ा |
ब्लॉकचेन	ब ् ल ॉ क च े न |
पैसिफिक	प ै स ि फ ि क |
सेवाकर	स े व ा क र |
पैठान	प ै ठ ा न |
भास्कर	भ ा स ् क र |
पट्टी	प ट ् ट ी |
अपनायेगी	अ प न ा य े ग ी |
उन्होने	उ न ् ह ो न े |
चाहिये	च ा ह ि य े |
ब्रायन	ब ् र ा य न |
सौदे	स ौ द े |
तट	त ट |
उबर	उ ब र |
प्रेग्नेंट	प ् र े ग ् न े ं ट |
हैंडओवर	ह ै ं ड ओ व र |
बारहों	ब ा र ह ो ं |
डिफॉल्ट	ड ि फ ॉ ल ् ट |
जीरो	ज ी र ो |
मौलिक	म ौ ल ि क |
हीनभावना	ह ी न भ ा व न ा |
हेमा	ह े म ा |
मालिनी	म ा ल ि न ी |
अपीयरेंस	अ प ी य र े ं स |
ओब्जेक्शन	ओ ब ् ज े क ् श न |
निष्क्रियता	न ि ष ् क ् र ि य त ा |
ऩॉर्थ	न ़ ॉ र ् थ |
उपमहाद्वीप	उ प म ह ा द ् व ी प |
नाकाबंदी	न ा क ा ब ं द ी |
क्लार्क	क ् ल ा र ् क |
आधीरात	आ ध ी र ा त |
प्रिंटर्स	प ् र ि ं ट र ् स |
अपडेट	अ प ड े ट |
निर्णयों	न ि र ् ण य ो ं |
ठप्पा	ठ प ् प ा |
विकेटकीपिंग	व ि क े ट क ी प ि ं ग |
घूमती	घ ू म त ी |
पडे	प ड े |
अटकाया	अ ट क ा य ा |
बोनस	ब ो न स |
आयोगों	आ य ो ग ो ं |
चावलों	च ा व ल ो ं |
माल	म ा ल |
हमसे	ह म स े |
तुलसीदास	त ु ल स ी द ा स |
साग	स ा ग |
आवेदनों	आ व े द न ो ं |
होग	ह ो ग |
पंश्चिम	प ं श ् च ि म |
मैक्कलम	म ै क ् क ल म |
ढंककर	ढ ं क क र |
नवाचार	न व ा च ा र |
ग्रामोद्योगों	ग ् र ा म ो द ् य ो ग ो ं |
विनाशकारी	व ि न ा श क ा र ी |
करतीं	क र त ी ं |
निहत्थे	न ि ह त ् थ े |
कन्नौज	क न ् न ौ ज |
फतेहपुर	फ त े ह प ु र |
औरैया	औ र ै य ा |
इटावा	इ ट ा व ा |
खोलती	ख ो ल त ी |
शशी	श श ी |
पहुंचता	प ह ु ं च त ा |
पंचकूला	प ं च क ू ल ा |
असहमत	अ स ह म त |
फेंकीं	फ े ं क ी ं |
गीगा	ग ी ग ा |
टीएमसी	ट ी ए म स ी |
तामेंगलोंग	त ा म े ं ग ल ो ं ग |
जौनसारी	ज ौ न स ा र ी |
फरमान	फ र म ा न |
तोड़ी	त ो ड ़ ी |
जेनेरेशन	ज े न े र े श न |
बुने	ब ु न े |
क्रिकेटरों	क ् र ि क े ट र ो ं |
रिस्पांसिव	र ि स ् प ा ं स ि व |
उद्घाटित	उ द ् घ ा ट ि त |
हुर्इ	ह ु र ् इ |
प्रिमियम	प ् र ि म ि य म |
अकूत	अ क ू त |
आट	आ ट |
झलकता	झ ल क त ा |
मयस्सर	म य स ् स र |
नाकामयाबी	न ा क ा म य ा ब ी |
गियर	ग ि य र |
अपनाएंगे	अ प न ा ए ं ग े |
एंड्रायॅड	ए ं ड ् र ा य ॅ ड |
विशेषत	व ि श े ष त |
फांसी	फ ा ं स ी |
खौफ	ख ौ फ |
देष	द े ष |
कॉर्निंग	क ॉ र ् न ि ं ग |
होबर्ट	ह ो ब र ् ट |
घबरा	घ ब र ा |
अव्यावहारिक	अ व ् य ा व ह ा र ि क |
बीती	ब ी त ी |
जुड़ना	ज ु ड ़ न ा |
बहुध्रुवीय	ब ह ु ध ् र ु व ी य |
एकजुटता	ए क ज ु ट त ा |
मंथन	म ं थ न |
कास्टिंग	क ा स ् ट ि ं ग |
काउच	क ा उ च |
जातिसूचक	ज ा त ि स ू च क |
बचाए	ब च ा ए |
ह्युमन	ह ् य ु म न |
हैलो	ह ै ल ो |
ड्रेसिंग	ड ् र े स ि ं ग |
प्रवृत्तियों	प ् र व ृ त ् त ि य ो ं |
ट्रैफिक	ट ् र ै फ ि क |
लाइफस्टाइल	ल ा इ फ स ् ट ा इ ल |
लए	ल ए |
पॉलिटिकल	प ॉ ल ि ट ि क ल |
आवागमन	आ व ा ग म न |
कैलोरी	क ै ल ो र ी |
ब्रेकअप	ब ् र े क अ प |
घुमने	घ ु म न े |
छोटों	छ ो ट ो ं |
मातृभाषाओं	म ा त ृ भ ा ष ा ओ ं |
विलेन	व ि ल े न |
गवर्नमेंट	ग व र ् न म े ं ट |
मध्यस्थता	म ध ् य स ् थ त ा |
क्रिएटिव	क ् र ि ए ट ि व |
उग्रवाद	उ ग ् र व ा द |
पंकजा	प ं क ज ा |
मुंडे	म ु ं ड े |
शरीआ	श र ी आ |
दुस्साहसी	द ु स ् स ा ह स ी |
वॉट्सअप	व ॉ ट ् स अ प |
करवाएगा	क र व ा ए ग ा |
वर्षाधीन	व र ् ष ा ध ी न |
पाकर	प ा क र |
बंजारा	ब ं ज ा र ा |
उठे	उ ठ े |
मानहानि	म ा न ह ा न ि |
ऑटोग्राफ	ऑ ट ो ग ् र ा फ |
जगाते	ज ग ा त े |
बेगुनाह	ब े ग ु न ा ह |
दुष्प्रभाव	द ु ष ् प ् र भ ा व |
संत	स ं त |
ग्रहण	ग ् र ह ण |
माउंट	म ा उ ं ट |
एवरेस्ट	ए व र े स ् ट |
कवलित	क व ल ि त |
कतार	क त ा र |
औपनिवेशिक	औ प न ि व े श ि क |
खात्मा	ख ा त ् म ा |
यंत्रों	य ं त ् र ो ं |
स्टीवर्ट	स ् ट ी व र ् ट |
मिनी	म ि न ी |
बंदोबस्त	ब ं द ो ब स ् त |
निष्ठुर	न ि ष ् ठ ु र |
हेंडल	ह े ं ड ल |
पुत्र	प ु त ् र |
बटालियन	ब ट ा ल ि य न |
विक्रम	व ि क ् र म |
व्यापम	व ् य ा प म |
बनिस्बत	ब न ि स ् ब त |
पलटवार	प ल ट व ा र |
आवेदिन	आ व े द ि न |
पट्ट	प ट ् ट |
हटाए	ह ट ा ए |
सैनिकों	स ै न ि क ो ं |
बेपरवाह	ब े प र व ा ह |
छाछठ	छ ा छ ठ |
भूले	भ ू ल े |
बिसरे	ब ि स र े |
परिवर्तनेच्छु	प र ि व र ् त न े च ् छ ु |
अपरिवर्तनेच्छु	अ प र ि व र ् त न े च ् छ ु |
यथास्थितिवादी	य थ ा स ् थ ि त ि व ा द ी |
चिड़ियाघरों	च ि ड ़ ि य ा घ र ो ं |
नौटियाल	न ौ ट ि य ा ल |
ट्रेक	ट ् र े क |
अवधारणा	अ व ध ा र ण ा |
लुटेरों	ल ु ट े र ो ं |
छुट्टे	छ ु ट ् ट े |
निजात	न ि ज ा त |
ब्रॉड	ब ् र ॉ ड |
पुलिवालों	प ु ल ि व ा ल ो ं |
गिरफ्तारी	ग ि र फ ् त ा र ी |
इजराइल	इ ज र ा इ ल |
बेंगुलुरु	ब े ं ग ु ल ु र ु |
पीएस	प ी ए स |
मधुमेह	म ध ु म े ह |
गुर्दो	ग ु र ् द ो |
उत्पन	उ त ् प न |
चबाने	च ब ा न े |
समग्र	स म ग ् र |
मानविकी	म ा न व ि क ी |
बचें	ब च े ं |
प्रेशर	प ् र े श र |
प्रतिबिंबित	प ् र त ि ब ि ं ब ि त |
पचपनवें	प च प न व े ं |
क्षोभ	क ् ष ो भ |
अरुणमला	अ र ु ण म ल ा |
वल्ला	व ल ् ल ा |
संध्या	स ं ध ् य ा |
आल	आ ल |
मोहन	म ो ह न |
आश्कर	आ श ् क र |
एडी	ए ड ी |
विंडोज	व ि ं ड ो ज |
नाता	न ा त ा |
पिछड़े	प ि छ ड ़ े |
आएं	आ ए ं |
मौज	म ौ ज |
सोचते	स ो च त े |
करूं	क र ू ं |
सिकुड़ने	स ि क ु ड ़ न े |
आईपीएस	आ ई प ी ए स |
खबरों	ख ब र ो ं |
किप्टोवायर	क ि प ् ट ो व ा य र |
शंघाई	श ं घ ा ई |
ट्रेडेड	ट ् र े ड े ड |
भ्रीत	भ ् र ी त |
जेंटलमैन	ज े ं ट ल म ै न |
गर्मी	ग र ् म ी |
मुस्तैद	म ु स ् त ै द |
कामना	क ा म न ा |
साठवां	स ा ठ व ा ं |
कंपेटेटिव	क ं प े ट े ट ि व |
क्रमबद्ध	क ् र म ब द ् ध |
प्रतिभाशाली	प ् र त ि भ ा श ा ल ी |
स्टूडियोज	स ् ट ू ड ि य ो ज |
लाइब्रेरियन	ल ा इ ब ् र े र ि य न |
जुड़ने	ज ु ड ़ न े |
आईएसआईएस	आ ई ए स आ ई ए स |
द्रौपती	द ् र ौ प त ी |
बूझ	ब ू झ |
शुरूआती	श ु र ू आ त ी |
कंकड़	क ं क ड ़ |
पहनिए	प ह न ि ए |
दीजिए	द ी ज ि ए |
अंतर्द्वन्द्व	अ ं त र ् द ् व न ् द ् व |
डान	ड ा न |
ब्रैडमन	ब ् र ै ड म न |
एवर्टन	ए व र ् ट न |
सम्बद्ध	स म ् ब द ् ध |
सुपरकैपिस्टर्स	स ु प र क ै प ि स ् ट र ् स |
पन्चसौ	प न ् च स ौ |
द्वीपों	द ् व ी प ो ं |
महाशक्तियों	म ह ा श क ् त ि य ो ं |
मुहल्ले	म ु ह ल ् ल े |
करकट	क र क ट |
अंटे	अ ं ट े |
मिठाई	म ि ठ ा ई |
समझती	स म झ त ी |
रविंदर	र व ि ं द र |
कौर	क ौ र |
राजिंदर	र ा ज ि ं द र |
सार्क	स ा र ् क |
प्रतिफल	प ् र त ि फ ल |
स्ट्रेल	स ् ट ् र े ल |
माइक्रोफोन	म ा इ क ् र ो फ ो न |
पढ़ाते	प ढ ़ ा त े |
विभाजित	व ि भ ा ज ि त |
प्रतिशोध	प ् र त ि श ो ध |
प्लैटफॉर्म	प ् ल ै ट फ ॉ र ् म |
वसूलेगा	व स ू ल े ग ा |
भंगड़ा	भ ं ग ड ़ ा |
बचेंगे	ब च े ं ग े |
ध्वज	ध ् व ज |
पोर्टल	प ो र ् ट ल |
फैलाव	फ ै ल ा व |
मीट्रिक	म ी ट ् र ि क |
वजहें	व ज ह े ं |
इला	इ ल ा |
बेलगावी	ब े ल ग ा व ी |
